event_id_cnty,event_date,year,time_precision,disorder_type,event_type,sub_event_type,actor1,assoc_actor_1,inter1,actor2,assoc_actor_2,inter2,interaction,civilian_targeting,iso,region,country,state,lga,admin3,location,latitude,longitude,geo_precision,source,source_scale,notes,fatalities,tags,timestamp,geopolitical_zone,month_year
BFO8923,2023-01-01,2023,1,Strategic developments,Strategic developments,Looting/property destruction,JNIM: Group for Support of Islam and Muslims,,Rebel group,Civilians (Burkina Faso),Labor Group (Burkina Faso),Civilians,Rebel group-Civilians,,854,Western Africa,Burkina Faso,Centre-Nord,Sanmatenga,Mane,Zinko,13.0768,-1.3102,1,Facebook; L'Observateur Paalga; MinuteBf; Undisclosed Source,Local partner-Other,"Property destruction: On 1 January 2023, presumed JNIM militants partially burned the market in the village of Zinko (Mane, Sanmatenga).",0,,1753969827,Unknown,2023-01
BFO8925,2023-01-01,2023,1,Political violence,Battles,Armed clash,VDP: Volunteer for Defense of Homeland,,Identity militia,JNIM: Group for Support of Islam and Muslims,,Rebel group,Rebel group-Identity militia,,854,Western Africa,Burkina Faso,Sahel,Yagha,Solhan,Nabaningou,13.3296,0.5026,1,Facebook; Twitter,New media,"On 1 January 2023, volunteer fighters (VDP) carried out an operation against suspected JNIM militant positions in Nabaningou (Solhan, Yagha), and Tambondi and Wantarangou (Sebba, Yagha). The VDP seized or destroyed motorcycles, weapons, and ammunition. Casualties unknown.",0,,1753969827,Unknown,2023-01
BFO8926,2023-01-01,2023,1,Political violence,Battles,Armed clash,VDP: Volunteer for Defense of Homeland,,Identity militia,JNIM: Group for Support of Islam and Muslims,,Rebel group,Rebel group-Identity militia,,854,Western Africa,Burkina Faso,Sahel,Yagha,Sebba,Tambondi,13.4114,0.5687,1,Facebook; Twitter,New media,"On 1 January 2023, volunteer fighters (VDP) carried out an operation against suspected JNIM militant positions in Tambondi and Wantarangou (Sebba, Yagha), and Nabaningou (Solhan, Yagha). The VDP seized or destroyed motorcycles, weapons, and ammunition. Casualties unknown.",0,,1753969827,Unknown,2023-01
BFO8928,2023-01-01,2023,1,Political violence,Battles,Armed clash,VDP: Volunteer for Defense of Homeland,,Identity militia,JNIM: Group for Support of Islam and Muslims,,Rebel group,Rebel group-Identity militia,,854,Western Africa,Burkina Faso,Sahel,Yagha,Sebba,Wantarangou,13.3413,0.5901,1,Facebook; Twitter,New media,"On 1 January 2023, volunteer fighters (VDP) carried out an operation against suspected JNIM militant positions in Wantarangou and Tambondi (Sebba, Yagha), and Nabaningou (Solhan, Yagha). The VDP seized or destroyed motorcycles, weapons, and ammunition. Casualties unknown.",0,,1753969827,Unknown,2023-01
NIR15275,2023-01-01,2023,1,Strategic developments,Strategic developments,Looting/property destruction,Unidentified Armed Group (Niger),,Political militia,Civilians (Niger),,Civilians,Political militia-Civilians,,562,Western Africa,Niger,Agadez,Ingall,Ingall,Agatarak,17.81,7.6115,2,Undisclosed Source,Local partner-Other,"Looting: On 1 January 2023, an unidentified armed group aboard motorcycles intercepted a transport vehicle and stripped the passengers of their belongings near Agatarak (Ingall, Agadez).",0,,1753971749,Unknown,2023-01
NIR15276,2023-01-01,2023,1,Strategic developments,Strategic developments,Looting/property destruction,Unidentified Armed Group (Chad),,Political militia,Civilians (Niger),,Civilians,Political militia-Civilians,,562,Western Africa,Niger,Agadez,Arlit,Gougaram,Touaret,20.2213,7.1491,1,Undisclosed Source,Local partner-Other,"Looting: On 1 January 2023, an unidentified armed group (believed to be Chadian) aboard about ten vehicles seized a vehicle and slaughtered a camel in Touaret (Arlit, Agadez).",0,,1673311013,Unknown,2023-01
NIG29423,2023-01-01,2023,1,Political violence,Explosions/Remote violence,Air/drone strike,Military Forces of Nigeria (2015-2023),,State forces,Boko Haram - Jamaatu Ahli is-Sunnah lid-Dawati wal-Jihad,,Rebel group,State forces-Rebel group,,566,Western Africa,Nigeria,Borno,Bama,,Bama,11.5221,13.6856,2,Twitter,New media,"On 1 January 2023, the Nigerian Air Force carried out airstrikes targeted at four Boko Haram [JAS] militants' camps in Bula Jitoye, Halka Kojoye, Halka Alai and Bulamaye in Bama LGA (Borno). 30 militants including three commanders were killed, 40 others were wounded.",30,,1753971672,North East,2023-01
BEN864,2023-01-01,2023,1,Political violence,Violence against civilians,Attack,Unidentified Armed Group (Benin),,Political militia,Civilians (Benin),Teachers (Benin),Civilians,Political militia-Civilians,Civilian targeting,204,Western Africa,Benin,Alibori,Segbana,,Wara,11.13,3.7193,1,24h au Benin,National,"On 1 January 2023, an unidentified armed group killed a teacher for unknown reasons in Wara (Segbana, Alibori).",1,,1754409061,Unknown,2023-01
BEN865,2023-01-01,2023,1,Political violence,Violence against civilians,Abduction/forced disappearance,JNIM: Group for Support of Islam and Muslims,,Rebel group,Civilians (Benin),,Civilians,Rebel group-Civilians,Civilian targeting,204,Western Africa,Benin,Atacora,Materi,,Dassari,10.8114,1.1439,2,24h au Benin; Benin Web TV; Daabaaru,National,"On 1 January 2023, presumed JNIM militants kidnapped 4 people and stole oxen in Koupiani near Dassari (Materi, Atacora).",0,,1776726680,Unknown,2023-01
NIG29426,2023-01-01,2023,1,Political violence,Battles,Armed clash,Kaduna Communal Militia (Nigeria),,Identity militia,Military Forces of Nigeria (2015-2023),,State forces,State forces-Identity militia,,566,Western Africa,Nigeria,Kaduna,Giwa,,Giwa,11.2803,7.4173,2,Blueprint; Guardian (Nigeria); Nigeria Punch,National,"On 1 January 2023, a Kaduna militia was engaged in an armed clash with Nigerian troops who responded to a distress call at Rafin Sarki village in Giwa LGA (Kaduna). Two militiamen were killed, split across two events coded as 1 and one rifle was recovered.",1,,1762829554,North West,2023-01
