month_year,total_incidents,total_fatalities
2023-01,1020,1408
2023-02,982,2004
2023-03,1092,2312
2023-04,946,2443
2023-05,994,1811
2023-06,976,2062
2023-07,954,1660
2023-08,990,1749
2023-09,875,1562
2023-10,1095,1800
2023-11,1170,2272
2023-12,1002,2417
2024-01,1020,1896
2024-02,1164,2313
2024-03,1063,1930
2024-04,1048,2281
2024-05,1158,2709
2024-06,974,2327
2024-07,989,2020
2024-08,1169,2310
2024-09,805,1251
2024-10,893,1290
2024-11,1098,1832
2024-12,1130,1955
2025-01,1254,2580
2025-02,1044,1897
2025-03,1054,2133
2025-04,1198,2083
2025-05,1198,2690
2025-06,998,2503
